Tally,Mean_B,RE,RE_Decrease,RE_Rate,VOV,VOV_Decrease,VOV_Rate,FOM,FOM_Behavior,PDFSlope,run_id
111,random,0.04,yes,yes,0.00,yes,yes,constant,random,3.01,out_m_0_0dot14
112,random,0.05,yes,yes,0.04,no,no,constant,random,4.88,out_m_0_0dot14
114,random,0.05,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
118,random,0.04,yes,yes,0.00,yes,yes,constant,random,4.67,out_m_0_0dot14
121,random,0.04,yes,yes,0.00,yes,yes,constant,random,2.70,out_m_0_0dot14
122,random,0.05,yes,yes,0.07,no,no,constant,random,2.82,out_m_0_0dot14
124,random,0.05,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
128,random,0.05,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
211,random,0.04,yes,yes,0.00,yes,yes,constant,random,3.11,out_m_0_0dot14
212,random,0.05,yes,yes,0.07,yes,yes,constant,increase,2.66,out_m_0_0dot14
214,random,0.05,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
218,random,0.04,yes,yes,0.00,yes,yes,constant,random,4.88,out_m_0_0dot14
221,random,0.04,yes,yes,0.00,yes,yes,constant,random,2.31,out_m_0_0dot14
222,random,0.05,yes,yes,0.09,yes,yes,constant,increase,2.84,out_m_0_0dot14
224,random,0.04,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
228,random,0.04,yes,yes,0.00,yes,yes,constant,random,10.00,out_m_0_0dot14
111,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
112,random,0.01,yes,yes,0.01,no,no,constant,random,3.52,out_f_0_0dot14
114,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
118,random,0.01,yes,yes,0.00,yes,yes,constant,random,4.37,out_f_0_0dot14
121,random,0.01,yes,yes,0.00,yes,yes,constant,random,7.60,out_f_0_0dot14
122,random,0.01,yes,yes,0.00,no,no,constant,random,4.63,out_f_0_0dot14
124,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
128,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
211,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
212,random,0.02,yes,yes,0.01,yes,yes,constant,increase,2.40,out_f_0_0dot14
214,random,0.01,yes,yes,0.00,yes,yes,constant,decrease,10.00,out_f_0_0dot14
218,random,0.01,yes,yes,0.00,yes,yes,constant,random,4.33,out_f_0_0dot14
221,decrease,0.01,yes,yes,0.00,yes,yes,constant,random,7.10,out_f_0_0dot14
222,random,0.02,yes,yes,0.01,yes,yes,constant,random,2.59,out_f_0_0dot14
224,random,0.01,yes,yes,0.00,yes,yes,constant,decrease,10.00,out_f_0_0dot14
228,random,0.01,yes,yes,0.00,yes,yes,constant,random,10.00,out_f_0_0dot14
111,random,0.31,yes,yes,0.11,yes,yes,constant,random,0.00,out_m_m250_0dot14
112,random,0.37,yes,yes,0.28,yes,no,constant,random,0.00,out_m_m250_0dot14
114,random,0.37,yes,yes,0.18,yes,yes,constant,random,0.00,out_m_m250_0dot14
118,random,0.30,yes,yes,0.09,yes,yes,constant,random,0.00,out_m_m250_0dot14
121,random,0.31,yes,yes,0.12,yes,yes,constant,random,0.00,out_m_m250_0dot14
122,random,0.35,yes,yes,0.21,yes,yes,constant,random,0.00,out_m_m250_0dot14
124,random,0.36,yes,yes,0.18,yes,yes,constant,random,0.00,out_m_m250_0dot14
128,random,0.39,yes,yes,0.28,yes,yes,constant,random,0.00,out_m_m250_0dot14
211,random,0.30,yes,yes,0.10,yes,yes,constant,random,0.00,out_m_m250_0dot14
212,random,0.31,yes,yes,0.13,yes,yes,constant,random,0.00,out_m_m250_0dot14
214,random,0.39,yes,yes,0.22,yes,yes,constant,random,0.00,out_m_m250_0dot14
218,random,0.29,yes,yes,0.08,yes,yes,constant,random,0.00,out_m_m250_0dot14
221,random,0.30,yes,yes,0.10,yes,yes,constant,random,0.00,out_m_m250_0dot14
222,random,0.30,yes,yes,0.11,yes,yes,constant,random,0.00,out_m_m250_0dot14
224,random,0.37,yes,yes,0.22,yes,yes,constant,random,0.00,out_m_m250_0dot14
228,random,0.34,yes,yes,0.16,yes,yes,constant,random,0.00,out_m_m250_0dot14
111,random,0.09,yes,yes,0.01,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
112,random,0.09,yes,yes,0.02,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
114,decrease,0.11,yes,yes,0.03,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
118,decrease,0.08,yes,yes,0.01,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
121,random,0.09,yes,yes,0.01,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
122,decrease,0.10,yes,yes,0.02,yes,yes,constant,random,0.00,out_f_m250_0dot14
124,decrease,0.12,yes,yes,0.03,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
128,decrease,0.11,yes,yes,0.02,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
211,random,0.08,yes,yes,0.01,yes,yes,constant,random,0.00,out_f_m250_0dot14
212,random,0.09,yes,yes,0.01,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
214,random,0.11,yes,yes,0.03,yes,no,constant,random,0.00,out_f_m250_0dot14
218,random,0.08,yes,yes,0.01,yes,yes,constant,random,0.00,out_f_m250_0dot14
221,random,0.08,yes,yes,0.01,yes,yes,constant,random,0.00,out_f_m250_0dot14
222,random,0.09,yes,yes,0.02,yes,yes,constant,decrease,0.00,out_f_m250_0dot14
224,increase,0.11,yes,yes,0.04,yes,yes,constant,random,0.00,out_f_m250_0dot14
228,random,0.10,yes,yes,0.02,yes,yes,constant,random,0.00,out_f_m250_0dot14
111,random,0.23,yes,yes,0.07,yes,yes,constant,random,0.00,out_m_m500_0dot14
112,random,0.26,yes,yes,0.18,yes,no,constant,random,0.00,out_m_m500_0dot14
114,random,0.27,yes,yes,0.10,yes,yes,constant,random,0.00,out_m_m500_0dot14
118,constant,0.22,yes,yes,0.05,yes,yes,constant,random,0.00,out_m_m500_0dot14
121,random,0.24,yes,yes,0.08,yes,yes,constant,random,0.00,out_m_m500_0dot14
122,random,0.28,yes,yes,0.19,yes,yes,constant,random,0.00,out_m_m500_0dot14
124,random,0.26,yes,yes,0.10,yes,yes,constant,random,0.00,out_m_m500_0dot14
128,random,0.26,yes,yes,0.10,yes,yes,constant,random,0.00,out_m_m500_0dot14
211,constant,0.26,yes,yes,0.08,yes,yes,constant,random,0.00,out_m_m500_0dot14
212,random,0.33,yes,yes,0.26,yes,yes,constant,random,0.00,out_m_m500_0dot14
214,random,0.35,yes,yes,0.19,yes,yes,constant,random,0.00,out_m_m500_0dot14
218,random,0.25,yes,yes,0.06,yes,yes,constant,random,0.00,out_m_m500_0dot14
221,random,0.27,yes,yes,0.09,yes,yes,constant,random,0.00,out_m_m500_0dot14
222,random,0.37,yes,yes,0.35,yes,yes,constant,random,0.00,out_m_m500_0dot14
224,random,0.33,yes,yes,0.16,yes,yes,constant,random,0.00,out_m_m500_0dot14
228,random,0.29,yes,yes,0.13,yes,yes,constant,random,0.00,out_m_m500_0dot14
111,random,0.10,yes,yes,0.01,yes,yes,constant,random,0.00,out_f_m500_0dot14
112,random,0.14,yes,yes,0.07,yes,yes,constant,random,0.00,out_f_m500_0dot14
114,random,0.13,yes,yes,0.04,yes,yes,constant,random,0.00,out_f_m500_0dot14
118,random,0.10,yes,yes,0.01,yes,yes,constant,random,0.00,out_f_m500_0dot14
121,random,0.11,yes,yes,0.02,yes,yes,constant,random,0.00,out_f_m500_0dot14
122,random,0.15,yes,yes,0.08,yes,yes,constant,random,0.00,out_f_m500_0dot14
124,random,0.14,yes,yes,0.05,yes,yes,constant,random,0.00,out_f_m500_0dot14
128,random,0.13,yes,yes,0.03,yes,yes,constant,random,0.00,out_f_m500_0dot14
