contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,20,-15,0,0,0,0
f,20,-12.5,0,0,0,0
f,20,-10,0,0,0,0
f,20,-7.5,0,0,0,0
f,20,-5,0,0,0,0
f,20,-2.5,0,0,0,0
f,20,-2,0,0,0,0
f,20,-1.5,0,0,0,0
f,20,-1,0,0,0,0
f,20,-0.5,0,0,0,0
f,20,0,0,0,0,0
f,42.5,-15,0,0,0,0
f,42.5,-12.5,0,0,0,0
f,42.5,-10,0,0,0,0
f,42.5,-7.5,0,0,0,0
f,42.5,-5,0,0,0,0
f,42.5,-2.5,0,0,0,0
f,42.5,-2,0,0,0,0
f,42.5,-1.5,1e-8,1e-8,5e-9,5e-9
f,42.5,-1,1e-8,1e-8,5e-9,5e-9
f,42.5,-0.5,2e-8,1.0000646029132318e-8,1.5e-8,8.660999999999999e-9
f,42.5,0,3.4999999999999996e-8,1.322973325505847e-8,3e-8,1.2247937050785327e-8
f,65,-15,6e-10,3.4641016151377545e-10,6e-10,3.4641016151377545e-10
f,65,-12.5,9.999995e-10,4.0824678130207455e-10,5e-10,2.8867328899077914e-10
f,65,-10,1.1666665e-9,4.40973559296931e-10,6.666665000000001e-10,3.3333165166093047e-10
f,65,-7.5,1.5000000000000002e-9,8.660198669776577e-10,1e-9,7.071067811865476e-10
f,65,-5,2.5e-9,1.1180254111602293e-9,2e-9,1e-9
f,65,-2.5,6.500000000000001e-8,2.1795171988309704e-8,3.4999999999999996e-8,1.3229244914204288e-8
f,65,-2,1.9e-7,3.391249569480253e-8,1.3e-7,2.5496584947792522e-8
f,65,-1.5,6.3e-7,6.082415061881259e-8,4.5000000000000003e-7,4.743655874955518e-8
f,65,-1,1.815e-6,1.018588910699503e-7,1.31e-6,8.093605274381745e-8
f,65,-0.5,3.2149999999999997e-6,1.3444025669791024e-7,2.25e-6,1.0607740739313909e-7
f,65,0,4.12e-6,1.5184166363024345e-7,2.865e-6,1.1969437461614478e-7
f,87.5,-15,4.8e-9,1.0954673238394655e-9,3.0000000000000004e-9,7.745927074275873e-10
f,87.5,-12.5,5.999998e-9,1.10559790068068e-9,4.333335e-9,8.498366293749058e-10
f,87.5,-10,8.666671500000002e-9,1.3540030856880305e-9,5.166666e-9,9.279692135279496e-10
f,87.5,-7.5,1.8499999999999997e-8,3.3540373022672244e-9,1.15e-8,2.3977887229695618e-9
f,87.5,-5,1.7000000000000003e-8,3.082238392791836e-9,1.05e-8,2.2913516644112052e-9
