"Tally","Mean_B","RE","RE_Decrease","RE_Rate","VOV","VOV_Decrease","VOV_Rate","FOM","FOM_Behavior","PDFSlope","run_id"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-511-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-511-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-662-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-662-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-10-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-10-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-20-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-20-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-30-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-30-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-40-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-40-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-50-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-50-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-60-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-60-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-70-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-70-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-80-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-80-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-90-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-90-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-100-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-100-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-110-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-110-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-120-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-120-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-130-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-130-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-140-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-140-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-150-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-150-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-160-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-160-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-170-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-170-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-180-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-180-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-190-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-190-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-200-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-200-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-210-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-210-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-220-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-220-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-230-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-230-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-240-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-240-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-250-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-250-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-260-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-260-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-270-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-270-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-280-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-280-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-290-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-290-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-300-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-300-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-310-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-310-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-320-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-320-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-330-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-330-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-340-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-340-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-350-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-350-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-360-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-360-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-370-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-370-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-380-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-380-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-390-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-390-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-400-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-400-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-410-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-410-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-420-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-420-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-430-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-430-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-440-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-440-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-450-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-450-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-460-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-460-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-470-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-470-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-480-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-480-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-490-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-490-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-500-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-500-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-510-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-510-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-520-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-520-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-530-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-530-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-540-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-540-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-550-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-550-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-560-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-560-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-570-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-570-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-580-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-580-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-590-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-590-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-600-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-600-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-610-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-610-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-620-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-620-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-630-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-630-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-640-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-640-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-650-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-650-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-660-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-660-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-670-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-670-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-680-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-680-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-690-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-690-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-700-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-700-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-710-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-710-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-720-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-720-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-730-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-730-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-740-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-740-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-750-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-750-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-760-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-760-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-770-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-770-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-780-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-780-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-790-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-790-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-800-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-800-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-810-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-810-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-820-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-820-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-830-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-830-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-840-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-840-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-850-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-850-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-860-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-860-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-870-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-870-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-880-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-880-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-890-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-890-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-900-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-900-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-910-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-910-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-920-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-920-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-930-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-930-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-940-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-940-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-950-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-950-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-960-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-960-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-970-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-970-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-980-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-980-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-990-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-990-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1000-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1000-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1010-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1010-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1020-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1020-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1030-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1030-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1040-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1040-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1050-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1050-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1060-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1060-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1070-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1070-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1080-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1080-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1090-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1090-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1100-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1100-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1110-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1110-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1120-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1120-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1130-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1130-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1140-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1140-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1150-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1150-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1160-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1160-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1170-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1170-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1180-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1180-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1190-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1190-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1200-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1200-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1210-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1210-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1220-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1220-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1230-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1230-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1240-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1240-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1250-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1250-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1260-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1260-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1270-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1270-keV"
"11","decrease","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1280-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1280-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1290-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1290-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1300-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1300-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1310-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1310-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1320-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1320-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1330-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1330-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1340-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1340-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1350-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1350-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1360-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1360-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1370-keV"
